99352179	sprite	14							
99378780	procDef	163							
99517618	sprite	503							
98707135	stage	21							
99625106	stage	14							
99276309	sprite	176				total loc	16346838	16346838	
99335245	stage	14				loc in functions	7978832		48.80963523
99584530	procDef	568							
98570550	procDef	137							
98593241	procDef	55							
96447518	procDef	2124							
98383561	stage	3							
98636947	procDef	27							
99125670	sprite	5							
98842402	procDef	4							
98890439	sprite	9							
99589376	procDef	141							
98515630	sprite	10							
99641520	sprite	170							
97600692	sprite	5							
99336497	sprite	65							
99551049	stage	7							
98950758	sprite	5							
98656119	stage	22							
98597183	sprite	10							
99798232	procDef	17							
99746325	stage	29							
99588500	procDef	511							
99481058	sprite	193							
99085715	sprite	25							
98683747	procDef	128							
60909718	sprite	915							
98700660	sprite	4							
99390021	procDef	74							
99672939	sprite	1799							
99149278	stage	44							
99861425	sprite	611							
99459407	sprite	738							
99707246	stage	22							
99052653	sprite	67							
98924226	stage	1							
98575232	procDef	4							
98979116	sprite	422							
99598314	stage	8							
95874580	procDef	450							
99505892	stage	60							
99248449	sprite	10							
99598685	procDef	12							
98741552	sprite	93							
99455295	procDef	34							
65629438	sprite	295							
99337368	procDef	21							
94655891	stage	18							
98398531	stage	8							
98576655	sprite	96							
99504428	procDef	24							
99553878	procDef	12							
98671925	procDef	33							
99569934	stage	8							
99698444	sprite	12							
99516490	procDef	5							
98678030	sprite	6							
99780331	sprite	4							
99429146	stage	22							
98989104	procDef	26							
99554234	procDef	456							
99551569	stage	8							
99166597	stage	74							
97659588	procDef	12							
99248614	procDef	32							
98757138	stage	7							
99549963	procDef	120							
99078570	procDef	572							
99059109	sprite	36							
99554348	sprite	416							
99647036	stage	10							
68191908	sprite	54							
99400246	stage	3							
99625591	sprite	204							
99533191	sprite	372							
99101725	sprite	30							
98951334	procDef	56							
98576052	sprite	761							
99877415	stage	4							
97097102	procDef	2							
99323104	procDef	213							
63980394	sprite	8							
98618910	procDef	56							
99793441	procDef	3							
95395351	procDef	4							
99791386	sprite	144							
98989542	sprite	19							
98273001	procDef	870							
98462409	stage	10							
99071573	stage	9							
97173095	stage	15							
99879578	stage	40							
90905715	procDef	40							
98551890	procDef	4							
98881542	procDef	532							
99304593	stage	12							
99019538	procDef	279							
99446300	procDef	6							
98701180	sprite	65							
98662101	sprite	421							
99617509	procDef	43							
99316901	procDef	110							
98296924	procDef	29							
99074413	sprite	141							
99013465	sprite	1815							
99008571	stage	11							
97334804	procDef	166							
99050695	stage	61							
98645647	procDef	19							
98845852	procDef	3770							
98533077	stage	26							
96723744	procDef	35							
99954259	procDef	37							
99831129	sprite	15							
99560421	procDef	51							
97053484	sprite	166							
99941972	procDef	51							
98700113	procDef	16							
98874593	sprite	24							
99141845	procDef	5							
99578874	sprite	2247							
98334900	stage	8							
98564018	sprite	683							
99330825	procDef	56							
99009967	stage	25							
99059602	procDef	6582							
99515516	sprite	420							
99625071	sprite	61							
98650170	sprite	11							
98848000	stage	59							
98656604	sprite	33							
99709601	stage	16							
98510292	procDef	50							
99448079	sprite	219							
99334369	stage	6							
99920826	stage	8							
98416994	procDef	292							
97590677	sprite	154							
99764047	procDef	15							
99882097	stage	29							
98981110	procDef	1240							
99917534	sprite	2391							
99231598	stage	92							
99633087	sprite	1484							
99607391	procDef	3							
98026578	sprite	12							
99272667	sprite	421							
99572084	sprite	14							
98903451	stage	14							
98847851	procDef	215							
99363269	stage	14							
99686266	sprite	10							
98769329	sprite	119							
99460530	sprite	1892							
99789743	sprite	28							
72002610	sprite	2363							
